total_all,state,id,country,total,total_dg,dg_off,dg_oversea,dg_ch,total_ndg,ndg_exch,ndg_short,ndg_lang,ndg_ch,ndg_youth,spec
"110,182",,,,,"46,523","15,792","22,918","7,813","63,659","3,743","4,758","18,645","34,114","2,399",492
"95,170",亞洲,,,,"42,565","12,668","22,084","7,813","52,605","1,808","3,616","10,673","34,114","2,394",492
,,156,中國大陸,"41,951","7,813", -, -,"7,813","34,138", -, -,24,"34,114", -, -
,,548,馬來西亞,"14,946","11,534","4,465","7,069", -,"3,412",35,839,247, -,"2,291",112
,,344,香港,"8,260","7,340", -,"7,340", -,920,193,220,507, -, -, -
,,392,日本,"6,319",966,791,175, -,"5,353",494,"1,423","3,436", -, -, -
,,446,澳門,"5,144","5,013", -,"5,013", -,131,10,3,118, -, -, -
,,360,印尼,"4,394","2,725","1,623","1,102", -,"1,669",35,134,"1,442", -,58, -
,,704,越南,"4,043","2,895","2,586",309, -,"1,148",11,41,"1,096", -, -,373
,,410,南韓,"3,820",792,596,196, -,"3,028",708,248,"2,070", -,2, -
,,764,泰國,"1,481",768,506,262, -,713,108,150,455, -, -, -
,,356,印度,"1,143",804,803,1, -,339,26,85,228, -, -, -
,,496,蒙古,823,607,607, -, -,216,21,3,192, -, -, -
,,702,新加坡,747,190,101,89, -,557,107,340,110, -, -,7
,,104,緬甸,579,467,9,458, -,112,1,2,71, -,38, -
,,608,菲律賓,533,174,139,35, -,359,18,85,256, -, -, -
,,643,俄羅斯,397,147,146,1, -,250,32,13,205, -, -, -
,,792,土耳其,150,56,56, -, -,94,9,2,83, -, -, -
,,400,約旦,72,35,30,5, -,37, -, -,37, -, -, -
,,364,伊朗,62,47,47, -, -,15, -,2,13, -, -, -
,,524,尼泊爾,54,34,34, -, -,20, -,8,12, -, -, -
,,376,以色列,41,13,13, -, -,28, -,5,23, -, -, -
,,586,巴基斯坦,39,36,35,1, -,3, -,2,1, -, -, -
,,96,汶萊,25,18,5,13, -,7, -,2, -, -,5, -
,,144,斯里蘭卡,18,17,16,1, -,1, -, -,1, -, -, -
,,368,伊拉克,17,10,10, -, -,7, -,1,6, -, -, -
,,50,孟加拉,15,15,14,1, -, -, -, -, -, -, -, -
,,64,不丹,15,1,1, -, -,14, -, -,14, -, -, -
,,398,哈薩克,15,7,7, -, -,8, -,5,3, -, -, -
,,860,烏茲別克,10,3,3, -, -,7, -, -,7, -, -, -
,,762,塔吉克,8,6,6, -, -,2, -, -,2, -, -, -
,,887,葉門,7,4,1,3, -,3, -,1,2, -, -, -
,,417,吉爾吉斯,6,6,6, -, -, -, -, -, -, -, -, -
,,784,阿拉伯聯合大公國,5,2, -,2, -,3, -,1,2, -, -, -
,,116,柬埔寨,4,3,2,1, -,1, -,1, -, -, -, -
,,418,寮國,4,4,2,2, -, -, -, -, -, -, -, -
,,682,沙烏地阿拉伯,4,4,2,2, -, -, -, -, -, -, -, -
,,422,黎巴嫩,3,2,1,1, -,1, -, -,1, -, -, -
,,760,敘利亞,3,1,1, -, -,2, -, -,2, -, -, -
,,51,亞美尼亞,3, -, -, -, -,3, -, -,3, -, -, -
,,48,巴林,2,2,1,1, -, -, -, -, -, -, -, -
,,414,科威特,2,1, -,1, -,1, -, -,1, -, -, -
,,275,巴勒斯坦,2, -, -, -, -,2, -, -,2, -, -, -
,,795,土庫曼,2,2,2, -, -, -, -, -, -, -, -, -
,,31,亞塞拜然,1, -, -, -, -,1, -, -,1, -, -, -
,,498,摩爾多瓦,1,1,1, -, -, -, -, -, -, -, -, -
,,,,,,,,,,,,,,,
863,大洋洲,,,,260,214,46, -,603,35,53,515, -, -, -
,,36,澳大利亞,407,31,16,15, -,376,34,48,294, -, -, -
,,90,索羅門群島,114,64,64, -, -,50, -, -,50, -, -, -
,,554,紐西蘭,103,31,6,25, -,72,1,5,66, -, -, -
,,296,吉里巴斯,71,42,42, -, -,29, -, -,29, -, -, -
,,584,馬紹爾群島共和國,53,20,20, -, -,33, -, -,33, -, -, -
,,798,吐瓦魯,47,29,29, -, -,18, -, -,18, -, -, -
,,585,帛琉,40,28,25,3, -,12, -, -,12, -, -, -
,,520,諾魯,21,8,8, -, -,13, -, -,13, -, -, -
,,598,巴布亞紐幾內亞,5,5,3,2, -, -, -, -, -, -, -, -
,,242,斐濟,1,1, -,1, -, -, -, -, -, -, -, -
,,583,密克羅尼西亞,1,1,1, -, -, -, -, -, -, -, -, -
,,,,,,,,,,,,,,,
"1,172",非洲,,,,743,659,84, -,429,5,24,400, -, -, -
,,748,史瓦濟蘭,337,192,191,1, -,145, -, -,145, -, -, -
,,710,南非,193,108,38,70, -,85, -,4,81, -, -, -
,,270,甘比亞,186,139,139, -, -,47, -,1,46, -, -, -
,,854,布吉納法索,138,75,75, -, -,63, -, -,63, -, -, -
,,678,聖多美普林西比,62,40,40, -, -,22, -, -,22, -, -, -
,,231,衣索比亞,60,59,59, -, -,1, -, -,1, -, -, -
,,566,奈及利亞,28,24,24, -, -,4, -,1,3, -, -, -
,,454,馬拉威,26,24,21,3, -,2, -, -,2, -, -, -
,,818,埃及,25,18,17,1, -,7, -,2,5, -, -, -
,,504,摩洛哥,22,1,1, -, -,21,4,10,7, -, -, -
,,404,肯亞,21,19,18,1, -,2, -, -,2, -, -, -
,,120,喀麥隆,7,4,4, -, -,3,1, -,2, -, -, -
,,178,剛果,7,5,5, -, -,2, -, -,2, -, -, -
,,716,辛巴威,7,5,5, -, -,2, -, -,2, -, -, -
,,788,突尼西亞,6,1,1, -, -,5, -,4,1, -, -, -
,,384,象牙海岸,5,4,1,3, -,1, -, -,1, -, -, -
,,834,坦尚尼亞,5,5,5, -, -, -, -, -, -, -, -, -
,,480,模里西斯,4,4, -,4, -, -, -, -, -, -, -, -
,,508,莫三比克,4,3,3, -, -,1, -, -,1, -, -, -
,,72,波札那,3,1,1, -, -,2, -, -,2, -, -, -
,,729,蘇丹,3,2,2, -, -,1, -, -,1, -, -, -
,,768,多哥,3,1,1, -, -,2, -, -,2, -, -, -
,,204,貝南,2,1,1, -, -,1, -, -,1, -, -, -
,,148,查德,2, -, -, -, -,2, -, -,2, -, -, -
,,288,迦納,2,1,1, -, -,1, -,1, -, -, -, -
,,686,塞內加爾,2,1,1, -, -,1, -,1, -, -, -, -
,,694,獅子山共和國,2,1,1, -, -,1, -, -,1, -, -, -
,,800,烏干達,2,1,1, -, -,1, -, -,1, -, -, -
,,894,尚比亞,2, -, -, -, -,2, -, -,2, -, -, -
,,516,納米比亞,2,1, -,1, -,1, -, -,1, -, -, -
,,430,賴比瑞亞,1,1,1, -, -, -, -, -, -, -, -, -
,,434,利比亞,1,1,1, -, -, -, -, -, -, -, -, -
,,646,盧安達,1,1,1, -, -, -, -, -, -, -, -, -
,,706,索馬利亞民主共和國,1, -, -, -, -,1, -, -,1, -, -, -
,,,,,,,,,,,,,,,
"5,833",歐洲,,,,650,631,19, -,"5,183","1,641",520,"3,022", -, -, -
,,250,法國,"1,545",111,108,3, -,"1,434",505,100,829, -, -, -
,,276,德國,"1,018",89,86,3, -,929,350,142,437, -, -, -
,,826,英國,422,59,55,4, -,363,13,37,313, -, -, -
,,528,荷蘭,349,19,18,1, -,330,154,33,143, -, -, -
,,724,西班牙,323,39,37,2, -,284,73,15,196, -, -, -
,,380,義大利,269,25,24,1, -,244,78,12,154, -, -, -
,,203,捷克,244,33,33, -, -,211,84,35,92, -, -, -
,,752,瑞典,223,14,12,2, -,209,103,8,98, -, -, -
,,626,波蘭,208,43,43, -, -,165,25,65,75, -, -, -
,,40,奧地利,172,33,33, -, -,139,34,16,89, -, -, -
,,756,瑞士,162,14,13,1, -,148,29,8,111, -, -, -
,,56,比利時,151,7,6,1, -,144,58,9,77, -, -, -
,,642,羅馬尼亞,98,4,4, -, -,94,2, -,92, -, -, -
,,246,芬蘭,97,8,8, -, -,89,49,4,36, -, -, -
,,804,烏克蘭,80,38,38, -, -,42,3,2,37, -, -, -
,,348,匈牙利,73,28,27,1, -,45,1,5,39, -, -, -
,,208,丹麥,62,7,7, -, -,55,29,5,21, -, -, -
,,372,愛爾蘭,54,5,5, -, -,49,8, -,41, -, -, -
,,703,斯洛伐克,51,15,15, -, -,36,7,5,24, -, -, -
,,578,挪威,42,3,3, -, -,39,15,1,23, -, -, -
,,620,葡萄牙,33,6,6, -, -,27,4,2,21, -, -, -
,,440,立陶宛,30,5,5, -, -,25,10, -,15, -, -, -
,,191,克羅埃西亞,21,8,8, -, -,13,2,2,9, -, -, -
,,100,保加利亞,20,4,4, -, -,16,3,3,10, -, -, -
,,705,斯洛維尼亞,17,4,4, -, -,13, -,7,6, -, -, -
,,112,白俄羅斯,16,10,10, -, -,6,2, -,4, -, -, -
,,428,拉脫維亞,11,4,4, -, -,7, -, -,7, -, -, -
,,300,希臘,8,3,3, -, -,5, -, -,5, -, -, -
,,442,盧森堡,8,1,1, -, -,7, -,3,4, -, -, -
,,233,愛沙尼亞,8,4,4, -, -,4, -, -,4, -, -, -
,,688,塞爾維亞共和國,7,1,1, -, -,6, -,1,5, -, -, -
,,70,波士尼亞與赫塞哥維納,3,3,3, -, -, -, -, -, -, -, -, -
,,352,冰島,2, -, -, -, -,2, -, -,2, -, -, -
,,470,馬爾他,2, -, -, -, -,2, -, -,2, -, -, -
,,807,馬其頓,2,2,2, -, -, -, -, -, -, -, -, -
,,492,摩納哥,1, -, -, -, -,1, -, -,1, -, -, -
,,-2,科索沃共和國,1,1,1, -, -, -, -, -, -, -, -, -
,,,,,,,,,,,,,,,
"7,144",美洲,,,,"2,305","1,620",685, -,"4,839",254,545,"4,035", -,5, -
,,840,美國,"3,806",692,433,259, -,"3,114",182,467,"2,462", -,3, -
,,124,加拿大,731,270,82,188, -,461,57,46,358, -, -, -
,,340,宏都拉斯,267,161,159,2, -,106, -,13,93, -, -, -
,,76,巴西,218,57,17,40, -,161,7,5,149, -, -, -
,,484,墨西哥,205,53,42,11, -,152,3,6,143, -, -, -
,,591,巴拿馬,188,98,94,4, -,90, -, -,90, -, -, -
,,84,貝里斯,184,130,105,25, -,54, -, -,52, -,2, -
,,600,巴拉圭,174,111,73,38, -,63, -, -,63, -, -, -
,,558,尼加拉瓜,170,108,96,12, -,62, -, -,62, -, -, -
,,222,薩爾瓦多,158,101,95,6, -,57, -, -,57, -, -, -
,,320,瓜地馬拉,150,78,70,8, -,72, -,3,69, -, -, -
,,662,聖露西亞,119,62,62, -, -,57, -, -,57, -, -, -
,,332,海地,111,69,69, -, -,42,1, -,41, -, -, -
,,214,多明尼加,109,52,30,22, -,57, -, -,57, -, -, -
,,670,聖文森,97,44,44, -, -,53, -, -,53, -, -, -
,,32,阿根廷,85,31,7,24, -,54, -,2,52, -, -, -
,,218,厄瓜多,77,47,31,16, -,30,1, -,29, -, -, -
,,604,秘魯,70,30,24,6, -,40, -, -,40, -, -, -
,,170,哥倫比亞,64,26,26, -, -,38,2, -,36, -, -, -
,,659,聖克里斯多福,60,38,38, -, -,22, -, -,22, -, -, -
,,152,智利,36,16,9,7, -,20,1, -,19, -, -, -
,,188,哥斯大黎加,22,13,3,10, -,9, -, -,9, -, -, -
,,862,委內瑞拉,18,8,4,4, -,10, -, -,10, -, -, -
,,68,玻利維亞,13,6,4,2, -,7, -,1,6, -, -, -
,,858,烏拉圭,3,1,1, -, -,2, -, -,2, -, -, -
,,52,巴貝多,2,2,2, -, -, -, -, -, -, -, -, -
,,192,古巴,2, -, -, -, -,2, -,1,1, -, -, -
,,212,多米尼克,2,1, -,1, -,1, -, -,1, -, -, -
,,44,巴哈馬,1, -, -, -, -,1, -,1, -, -, -, -
,,388,牙買加,1, -, -, -, -,1, -, -,1, -, -, -
,,780,千里達,1, -, -, -, -,1, -, -,1, -, -, -
